,column_name,Q,Q%,N,N%,U,U%,X,X%,total,total%
0,C_YEAR,0,[0.],0,[0.],0,[0.],0,[0.],0,0.0
1,C_MNTH,0,[0.],0,[0.],385,[0.007],0,[0.],385,0.0
2,C_WDAY,0,[0.],0,[0.],1323,[0.023],0,[0.],1323,0.0
3,C_HOUR,0,[0.],0,[0.],59409,[1.014],0,[0.],59409,1.0
4,C_SEV,0,[0.],0,[0.],0,[0.],0,[0.],0,0.0
5,C_VEHS,0,[0.],0,[0.],541,[0.009],0,[0.],541,0.0
6,C_CONF,284980,[4.863],0,[0.],179019,[3.055],0,[0.],463999,7.9
7,C_RCFG,144298,[2.462],0,[0.],504648,[8.611],0,[0.],648946,11.1
8,C_WTHR,15013,[0.256],0,[0.],87975,[1.501],0,[0.],102988,1.8
9,C_RSUR,170217,[2.905],0,[0.],78451,[1.339],0,[0.],248668,4.2
10,C_RALN,28602,[0.488],0,[0.],434710,[7.418],0,[0.],463312,7.9
11,C_TRAF,82018,[1.4],0,[0.],223483,[3.813],0,[0.],305501,5.2
12,V_ID,0,[0.],0,[0.],433,[0.007],0,[0.],433,0.0
13,V_TYPE,25444,[0.434],227913,[3.889],29754,[0.508],0,[0.],283111,4.8
14,V_YEAR,0,[0.],260256,[4.441],324122,[5.531],0,[0.],584378,10.0
15,P_ID,0,[0.],10976,[0.187],16,[0.],0,[0.],10992,0.2
16,P_SEX,0,[0.],14786,[0.252],234954,[4.009],0,[0.],249740,4.3
17,P_AGE,0,[0.],18016,[0.307],377140,[6.435],0,[0.],395156,6.7
18,P_PSN,25862,[0.441],14153,[0.242],57662,[0.984],0,[0.],97677,1.7
19,P_ISEV,0,[0.],290711,[4.961],80701,[1.377],0,[0.],371412,6.3
20,P_SAFE,47150,[0.805],571946,[9.759],615188,[10.497],0,[0.],1234284,21.1
21,P_USER,0,[0.],0,[0.],175586,[2.996],0,[0.],175586,3.0
