C_YEAR,C_MNTH,C_WDAY,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,C_PERS,C_HOUR_A,C_HOUR_M,C_HOUR_N,C_SEV
2003.0,3.0,2.0,2.0,0.5411326472630847,1,1,1,1,0,2.0,0.0,1.0,0.0,0
2011.0,1.0,0.0,2.0,0.16240698802976383,0,0,0,0,1,4.0,0.0,1.0,0.0,0
2011.0,1.0,0.0,3.0,0.8270860802411,1,0,0,1,1,4.0,1.0,0.0,0.0,0
2010.0,8.0,4.0,1.0,0.45900158120623447,0,0,1,0,1,1.0,0.0,0.0,1.0,0
2002.0,2.0,6.0,2.0,0.6850742380828341,0,1,1,0,1,3.0,0.0,0.0,1.0,0
2003.0,1.0,4.0,2.0,0.6850742380828341,0,1,1,0,1,2.0,1.0,0.0,0.0,0
2013.0,7.0,5.0,1.0,0.5411326472630847,0,1,1,0,1,8.0,0.0,0.0,1.0,0
2002.0,7.0,5.0,1.0,0.5411326472630847,1,0,1,0,0,1.0,0.0,0.0,1.0,0
2004.0,11.0,5.0,1.0,0.41659215101838054,0,0,0,0,1,1.0,0.0,1.0,0.0,0
2001.0,1.0,3.0,2.0,0.591,1,1,0,0,0,2.0,1.0,0.0,0.0,0
2009.0,6.0,4.0,2.0,0.591,1,1,1,1,0,2.0,1.0,0.0,0.0,0
2004.0,1.0,3.0,1.0,0.41659215101838054,0,0,1,0,1,1.0,0.0,0.0,1.0,0
2007.0,11.0,5.0,2.0,0.5411326472630847,0,0,0,0,1,3.0,0.0,1.0,0.0,0
2008.0,3.0,1.0,2.0,0.5411326472630847,1,1,1,1,0,2.0,1.0,0.0,0.0,0
1999.0,3.0,2.0,2.0,0.5411326472630847,0,0,1,0,1,5.0,1.0,0.0,0.0,0
2007.0,5.0,3.0,1.0,0.41659215101838054,0,1,1,0,1,1.0,1.0,0.0,0.0,0
2014.0,11.0,0.0,2.0,0.16240698802976383,0,1,1,1,1,7.0,1.0,0.0,0.0,0
2003.0,5.0,3.0,2.0,0.16240698802976383,0,1,1,0,1,2.0,0.0,0.0,1.0,0
2007.0,9.0,3.0,2.0,0.8270860802411,1,1,1,1,0,3.0,0.0,1.0,0.0,0
2014.0,6.0,2.0,1.0,0.8270860802411,0,1,1,1,1,1.0,0.0,0.0,1.0,0
2000.0,10.0,6.0,2.0,0.16240698802976383,1,0,0,1,0,5.0,0.0,1.0,0.0,0
2009.0,1.0,6.0,2.0,0.6807051909892262,1,1,1,0,1,3.0,0.0,1.0,0.0,0
2001.0,8.0,0.0,1.0,0.41659215101838054,1,1,1,1,1,1.0,1.0,0.0,0.0,0
2004.0,7.0,6.0,2.0,0.16240698802976383,1,0,1,0,0,3.0,0.0,1.0,0.0,0
2011.0,7.0,3.0,1.0,0.41659215101838054,0,1,1,0,1,2.0,0.0,1.0,0.0,0
