C_MNTH,C_WDAY,C_RCFG,C_RSUR,C_RALN,C_TRAF,C_HOUR_N,C_CONF_TO,C_CONF_TS,C_SEV
0,1,0,1,1,1,0.0,1.0,0.0,0
1,0,0,1,0,1,1.0,1.0,0.0,0
1,0,1,1,1,0,1.0,1.0,0.0,0
1,1,1,1,1,1,0.0,0.0,0.0,0
1,1,0,1,0,1,1.0,0.0,0.0,0
1,1,1,1,1,0,1.0,0.0,0.0,0
0,0,0,0,1,1,1.0,0.0,0.0,0
1,0,1,1,1,1,0.0,1.0,0.0,0
1,0,1,1,0,1,1.0,1.0,0.0,0
1,1,1,1,1,0,0.0,1.0,0.0,0
1,1,1,1,1,0,0.0,0.0,1.0,0
1,0,0,1,1,1,1.0,0.0,0.0,0
1,0,0,1,0,1,1.0,0.0,0.0,0
1,1,1,1,1,0,1.0,1.0,0.0,0
1,1,0,0,0,1,1.0,0.0,0.0,0
0,0,0,1,1,1,0.0,1.0,0.0,0
1,1,0,1,1,1,0.0,1.0,0.0,0
0,1,1,0,0,1,1.0,0.0,0.0,0
1,1,0,1,0,1,1.0,0.0,0.0,0
0,0,0,1,0,1,0.0,0.0,0.0,0
0,0,0,1,0,1,1.0,0.0,0.0,0
1,1,0,1,1,1,0.0,1.0,0.0,0
0,0,0,0,1,1,0.0,1.0,0.0,0
0,0,0,1,1,1,0.0,0.0,0.0,0
1,0,0,1,1,1,1.0,1.0,0.0,0
0,0,1,1,1,0,0.0,0.0,0.0,0
0,0,0,1,0,1,0.0,0.0,0.0,0
0,0,0,0,0,1,1.0,1.0,0.0,0
0,1,0,1,1,1,0.0,0.0,0.0,0
1,0,0,1,0,1,1.0,1.0,0.0,0
0,0,0,1,0,1,0.0,1.0,0.0,0
1,0,0,1,0,1,0.0,0.0,0.0,0
0,1,0,0,0,1,0.0,1.0,0.0,0
1,1,1,1,1,0,0.0,1.0,0.0,0
0,0,0,0,1,1,0.0,1.0,0.0,0
1,0,0,1,1,1,1.0,0.0,0.0,0
0,1,0,1,1,1,0.0,1.0,0.0,0
0,1,1,0,1,1,1.0,0.0,1.0,0
1,0,0,1,1,1,1.0,0.0,0.0,0
0,0,1,1,1,1,0.0,0.0,1.0,0
0,1,0,1,0,1,0.0,0.0,0.0,0
1,1,0,1,1,1,0.0,0.0,0.0,0
0,1,1,1,1,0,1.0,1.0,0.0,0
1,0,1,1,1,0,0.0,1.0,0.0,0
0,1,1,1,1,0,0.0,0.0,1.0,0
0,0,0,0,1,1,0.0,0.0,0.0,0
0,1,1,1,1,0,0.0,0.0,0.0,0
1,1,1,1,0,1,1.0,0.0,0.0,0
1,0,1,1,1,0,0.0,1.0,0.0,0
0,1,1,1,1,1,0.0,0.0,0.0,0
0,0,0,1,1,1,1.0,0.0,1.0,0
1,1,1,1,0,1,0.0,0.0,0.0,0
0,0,1,0,1,1,0.0,0.0,0.0,0
0,1,1,1,1,1,1.0,0.0,0.0,0
0,1,0,1,1,1,1.0,0.0,0.0,0
0,1,1,0,1,1,1.0,0.0,1.0,0
0,0,1,1,0,0,0.0,1.0,0.0,0
1,0,0,1,1,1,0.0,1.0,0.0,0
0,0,0,1,1,1,0.0,0.0,0.0,0
1,1,0,1,1,1,1.0,0.0,0.0,0
1,0,0,1,0,1,1.0,0.0,0.0,0
1,0,0,1,0,1,1.0,0.0,0.0,0
0,1,0,0,0,1,0.0,0.0,0.0,0
1,0,0,1,1,1,1.0,1.0,0.0,0
0,0,1,1,1,0,0.0,1.0,0.0,0
1,1,0,1,0,1,0.0,1.0,0.0,0
1,0,0,1,0,1,0.0,0.0,0.0,0
1,1,0,1,0,1,0.0,1.0,0.0,0
1,1,0,1,1,1,1.0,1.0,0.0,0
0,0,1,1,1,1,0.0,1.0,0.0,0
1,0,1,1,0,0,1.0,0.0,0.0,0
1,0,1,1,1,1,0.0,1.0,0.0,0
0,0,0,1,1,1,0.0,1.0,0.0,0
1,1,0,1,1,1,1.0,0.0,0.0,0
1,0,0,1,0,1,0.0,1.0,0.0,0
0,0,1,1,1,0,1.0,0.0,1.0,0
1,1,1,1,0,1,0.0,0.0,0.0,0
0,0,1,1,1,0,0.0,1.0,0.0,0
1,0,0,1,1,1,0.0,1.0,0.0,0
0,1,0,0,0,1,0.0,0.0,0.0,0
0,1,1,1,0,1,0.0,1.0,0.0,0
1,0,1,1,1,0,1.0,1.0,0.0,0
1,1,0,1,1,1,0.0,0.0,0.0,0
1,0,0,1,1,1,0.0,1.0,0.0,0
0,1,1,1,0,0,0.0,0.0,1.0,0
0,1,1,1,1,1,1.0,0.0,0.0,0
1,0,0,1,1,1,0.0,0.0,1.0,0
0,0,1,1,1,0,0.0,0.0,1.0,0
1,1,1,1,1,1,1.0,0.0,1.0,0
1,1,1,1,0,0,0.0,1.0,0.0,0
0,1,0,1,1,1,0.0,0.0,0.0,0
1,1,0,1,0,1,1.0,0.0,0.0,0
0,1,0,0,1,1,1.0,1.0,0.0,0
0,1,0,0,1,1,1.0,0.0,0.0,0
1,1,1,1,1,1,1.0,1.0,0.0,0
1,1,0,1,0,1,1.0,0.0,0.0,0
0,1,1,1,1,0,0.0,0.0,0.0,0
0,0,1,0,0,1,0.0,1.0,0.0,0
0,0,0,1,0,1,1.0,0.0,0.0,0
1,1,0,1,1,1,0.0,0.0,0.0,0
0,0,1,1,1,1,0.0,0.0,1.0,0
0,1,0,1,0,1,0.0,0.0,1.0,0
0,1,0,1,0,1,1.0,0.0,1.0,0
1,0,1,1,0,1,0.0,1.0,0.0,0
1,0,1,1,1,0,0.0,1.0,0.0,0
1,1,1,1,1,0,0.0,1.0,0.0,0
0,1,0,1,0,1,0.0,1.0,0.0,0
